Year,China,US
1971,1.995611,3.073314
1972,4.138085,3.968556
1973,4.642153,6.318245
1974,-1.445129,-2.545877
1975,-1.184589,-1.466335
1976,4.391463,2.935589
1977,3.577153,2.491438
1978,4.422982,4.198675
1979,2.033892,3.655966
1980,-1.209300,-2.148387
1981,1.536320,-0.822285
1982,-2.734557,2.031456
1983,3.631993,4.186321
1984,6.312155,2.107380
1985,3.250656,3.911319
1986,2.510892,2.911710
1987,2.538941,5.168872
1988,3.235401,5.497881
1989,2.698175,2.310929
1990,0.741482,0.433081
1991,-1.434195,-1.408486
1992,2.096615,0.129933
1993,1.406758,2.244411
1994,2.760928,3.581968
1995,1.468787,2.260784
1996,2.572196,2.230895
1997,3.197253,3.587693
1998,3.270524,3.343266
1999,3.557193,3.083962
2000,2.975209,3.068548
2001,0.003649,2.578699
2002,0.802104,1.892090
2003,1.980926,2.806552
2004,2.842681,1.793156
2005,2.563502,2.473712
2006,1.867956,2.035550
2007,0.911866,1.636058
2008,-1.076700,-1.062893
2009,-3.387436,-4.969350
2010,1.718201,1.153475
2011,0.822278,0.749697
2012,1.508614,0.775735
2013,1.145053,1.457702
2014,1.709322,1.854585
2015,2.131960,1.547697
2016,0.841916,1.148663
2017,1.574044,1.202194
2018,2.391097,0.728524
2019,1.849711,0.841075
